Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,uci,uci,axis,SHAP,0.9071428571428573,0.9071155160628844,24,9
Random Forest,uci,uci,axis,SHAP,0.9071428571428573,0.906899591636434,23,19
Random Forest,uci,uci,axis,SHAP,0.9142857142857144,0.9142583732057418,22,11
Random Forest,uci,uci,axis,SHAP,0.9142857142857144,0.9140572948783272,21,16
Random Forest,uci,uci,axis,SHAP,0.9142857142857144,0.9140572948783272,20,20
Random Forest,uci,uci,axis,SHAP,0.9214285714285714,0.92105999263894,19,7
Random Forest,uci,uci,axis,SHAP,0.9,0.899767023745951,18,10
Random Forest,uci,uci,axis,SHAP,0.9071428571428573,0.9071177944862155,17,17
Random Forest,uci,uci,axis,SHAP,0.9142857142857144,0.9140572948783272,16,21
Random Forest,uci,uci,axis,SHAP,0.9071428571428573,0.9070311096445398,15,6
Random Forest,uci,uci,axis,SHAP,0.9071428571428573,0.9069167161588012,14,14
Random Forest,uci,uci,axis,SHAP,0.8928571428571429,0.8928503075871497,13,15
Random Forest,uci,uci,axis,SHAP,0.9071428571428573,0.9067010182799656,12,5
Random Forest,uci,uci,axis,SHAP,0.9214285714285714,0.9207971713275472,11,3
Random Forest,uci,uci,axis,SHAP,0.9,0.8992364513457748,10,12
Random Forest,uci,uci,axis,SHAP,0.9071428571428573,0.906509178618502,9,18
Random Forest,uci,uci,axis,SHAP,0.8571428571428571,0.856341922485972,8,22
Random Forest,uci,uci,axis,SHAP,0.8714285714285714,0.8703113062970333,7,4
Random Forest,uci,uci,axis,SHAP,0.8571428571428571,0.8555001052993273,6,1
Random Forest,uci,uci,axis,SHAP,0.8642857142857143,0.8635524692768056,5,13
Random Forest,uci,uci,axis,SHAP,0.7928571428571428,0.7917294484643381,4,8
Random Forest,uci,uci,axis,SHAP,0.8071428571428572,0.8065215568897626,3,23
Random Forest,uci,uci,axis,SHAP,0.6857142857142857,0.6826190476190476,2,2
Random Forest,uci,uci,axis,SHAP,0.5285714285714286,0.5264079152607637,1,0
