Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,uci,uci,axis,LIME,0.8642857142857143,0.8611123514649819,24,19
SVM,uci,uci,axis,LIME,0.8785714285714286,0.8758222766381547,23,9
SVM,uci,uci,axis,LIME,0.8714285714285714,0.8686023668764236,22,11
SVM,uci,uci,axis,LIME,0.8714285714285714,0.8686023668764236,21,17
SVM,uci,uci,axis,LIME,0.8857142857142857,0.8832710649585191,20,21
SVM,uci,uci,axis,LIME,0.8857142857142857,0.8832710649585191,19,7
SVM,uci,uci,axis,LIME,0.8785714285714286,0.8753881800358562,18,10
SVM,uci,uci,axis,LIME,0.8928571428571429,0.8906017132849555,17,14
SVM,uci,uci,axis,LIME,0.8857142857142857,0.8827188283622928,16,2
SVM,uci,uci,axis,LIME,0.8785714285714286,0.8753881800358562,15,3
SVM,uci,uci,axis,LIME,0.8857142857142857,0.8827188283622928,14,5
SVM,uci,uci,axis,LIME,0.8642857142857143,0.8611123514649817,13,22
SVM,uci,uci,axis,LIME,0.8571428571428571,0.8536693471446096,12,15
SVM,uci,uci,axis,LIME,0.8428571428571429,0.8378915985232439,11,18
SVM,uci,uci,axis,LIME,0.8,0.7952550328507625,10,23
SVM,uci,uci,axis,LIME,0.7142857142857143,0.7079884359434261,9,6
SVM,uci,uci,axis,LIME,0.7071428571428572,0.7008822654396452,8,1
SVM,uci,uci,axis,LIME,0.7142857142857143,0.7106253789420869,7,16
SVM,uci,uci,axis,LIME,0.7214285714285714,0.7177603349031921,6,13
SVM,uci,uci,axis,LIME,0.7,0.6933152419719584,5,20
SVM,uci,uci,axis,LIME,0.7142857142857143,0.703695473740558,4,8
SVM,uci,uci,axis,LIME,0.6857142857142857,0.672217073657944,3,12
SVM,uci,uci,axis,LIME,0.55,0.5530854786736427,2,4
SVM,uci,uci,axis,LIME,0.4714285714285714,0.42863207705312967,1,0
