Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,uci,uci,axis,ORACLE,0.8642857142857143,0.8611123514649819,24,4
SVM,uci,uci,axis,ORACLE,0.8857142857142857,0.8830024116065307,23,10
SVM,uci,uci,axis,ORACLE,0.8928571428571429,0.8908852965291935,22,19
SVM,uci,uci,axis,ORACLE,0.8928571428571429,0.8908852965291935,21,22
SVM,uci,uci,axis,ORACLE,0.8857142857142857,0.8838591103741507,20,20
SVM,uci,uci,axis,ORACLE,0.8785714285714286,0.8759762254514879,19,6
SVM,uci,uci,axis,ORACLE,0.8857142857142857,0.8830140568813338,18,21
SVM,uci,uci,axis,ORACLE,0.8857142857142857,0.8830140568813338,17,3
SVM,uci,uci,axis,ORACLE,0.8928571428571429,0.890156914024191,16,1
SVM,uci,uci,axis,ORACLE,0.8928571428571429,0.890156914024191,15,7
SVM,uci,uci,axis,ORACLE,0.8928571428571429,0.8910067775218178,14,8
SVM,uci,uci,axis,ORACLE,0.9,0.8979028403888425,13,9
SVM,uci,uci,axis,ORACLE,0.9071428571428573,0.905176056518683,12,12
SVM,uci,uci,axis,ORACLE,0.9071428571428573,0.9043173150266972,11,13
SVM,uci,uci,axis,ORACLE,0.8857142857142857,0.8856229913971486,10,14
SVM,uci,uci,axis,ORACLE,0.8928571428571429,0.8928092785080081,9,15
SVM,uci,uci,axis,ORACLE,0.8285714285714286,0.8280780300607612,8,16
SVM,uci,uci,axis,ORACLE,0.7857142857142857,0.769701308954595,7,17
SVM,uci,uci,axis,ORACLE,0.7642857142857142,0.7471685514338609,6,5
SVM,uci,uci,axis,ORACLE,0.7928571428571428,0.7851149923655816,5,11
SVM,uci,uci,axis,ORACLE,0.7928571428571428,0.7889741715399611,4,2
SVM,uci,uci,axis,ORACLE,0.7571428571428571,0.7563854315698503,3,18
SVM,uci,uci,axis,ORACLE,0.6928571428571428,0.6874153564985122,2,23
SVM,uci,uci,axis,ORACLE,0.4714285714285714,0.42863207705312967,1,0
