Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Decision Tree,wisdm,wisdm,axis,ORACLE,0.6785714285714286,0.6790034322237712,24,10
Decision Tree,wisdm,wisdm,axis,ORACLE,0.75,0.7514801599101333,23,4
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7428571428571429,0.7441160372194855,22,22
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7857142857142857,0.7878849071221138,21,12
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7428571428571429,0.743099347502688,20,7
Decision Tree,wisdm,wisdm,axis,ORACLE,0.75,0.750620966636147,19,8
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7642857142857142,0.7642841817865984,18,11
Decision Tree,wisdm,wisdm,axis,ORACLE,0.75,0.7537254901960784,17,1
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7357142857142858,0.7381656641606136,16,19
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7285714285714285,0.7277962635932708,15,13
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7642857142857142,0.7638323080428344,14,23
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7357142857142858,0.7388171092286776,13,6
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7642857142857142,0.7664505354160527,12,3
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7571428571428571,0.7591595164532091,11,17
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7071428571428572,0.7053130777268708,10,2
Decision Tree,wisdm,wisdm,axis,ORACLE,0.6785714285714286,0.6754030213352247,9,21
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7071428571428572,0.7077765146730663,8,14
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7142857142857143,0.7153546090932661,7,15
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7,0.7002341356042947,6,18
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7071428571428572,0.710316534040672,5,0
Decision Tree,wisdm,wisdm,axis,ORACLE,0.7285714285714285,0.7292062496688181,4,20
Decision Tree,wisdm,wisdm,axis,ORACLE,0.6714285714285714,0.67477639875224,3,16
Decision Tree,wisdm,wisdm,axis,ORACLE,0.6785714285714286,0.6794995726648728,2,5
Decision Tree,wisdm,wisdm,axis,ORACLE,0.36428571428571427,0.3643720339088059,1,9
