Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,wisdm,wisdm,axis,LIME,0.8357142857142857,0.8352698887964978,24,14
KNN,wisdm,wisdm,axis,LIME,0.8357142857142857,0.8352698887964978,23,22
KNN,wisdm,wisdm,axis,LIME,0.8428571428571429,0.8428797123869509,22,7
KNN,wisdm,wisdm,axis,LIME,0.8357142857142857,0.8352698887964978,21,11
KNN,wisdm,wisdm,axis,LIME,0.8357142857142857,0.8345802336240841,20,9
KNN,wisdm,wisdm,axis,LIME,0.8357142857142857,0.8347189490919785,19,19
KNN,wisdm,wisdm,axis,LIME,0.8285714285714286,0.828207316415899,18,17
KNN,wisdm,wisdm,axis,LIME,0.8428571428571429,0.8418835291569862,17,15
KNN,wisdm,wisdm,axis,LIME,0.85,0.8480674945825349,16,2
KNN,wisdm,wisdm,axis,LIME,0.8285714285714286,0.8267476361972947,15,18
KNN,wisdm,wisdm,axis,LIME,0.8142857142857143,0.8108951196010261,14,23
KNN,wisdm,wisdm,axis,LIME,0.8214285714285714,0.8194904205229901,13,21
KNN,wisdm,wisdm,axis,LIME,0.8214285714285714,0.8190687766281194,12,10
KNN,wisdm,wisdm,axis,LIME,0.8142857142857143,0.8114004277834065,11,3
KNN,wisdm,wisdm,axis,LIME,0.8285714285714286,0.8266332776658473,10,13
KNN,wisdm,wisdm,axis,LIME,0.8285714285714286,0.8273778394101212,9,1
KNN,wisdm,wisdm,axis,LIME,0.8214285714285714,0.8204802132851305,8,16
KNN,wisdm,wisdm,axis,LIME,0.8071428571428572,0.8071324131257237,7,6
KNN,wisdm,wisdm,axis,LIME,0.8071428571428572,0.8061659296774832,6,5
KNN,wisdm,wisdm,axis,LIME,0.7642857142857142,0.7609859469710533,5,12
KNN,wisdm,wisdm,axis,LIME,0.6857142857142857,0.6806066390942049,4,20
KNN,wisdm,wisdm,axis,LIME,0.6428571428571429,0.6425381046765019,3,8
KNN,wisdm,wisdm,axis,LIME,0.6,0.5986815156169996,2,0
KNN,wisdm,wisdm,axis,LIME,0.4642857142857143,0.4646408474015227,1,4
