Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
KNN,wisdm,wisdm,axis,SHAP,0.8357142857142857,0.8352698887964978,24,15
KNN,wisdm,wisdm,axis,SHAP,0.8357142857142857,0.8352698887964978,23,14
KNN,wisdm,wisdm,axis,SHAP,0.8428571428571429,0.8423086905678675,22,2
KNN,wisdm,wisdm,axis,SHAP,0.8428571428571429,0.8423086905678675,21,11
KNN,wisdm,wisdm,axis,SHAP,0.8428571428571429,0.8423086905678675,20,9
KNN,wisdm,wisdm,axis,SHAP,0.8285714285714286,0.8275237443313083,19,7
KNN,wisdm,wisdm,axis,SHAP,0.8285714285714286,0.8275237443313083,18,22
KNN,wisdm,wisdm,axis,SHAP,0.8214285714285714,0.8204167893342307,17,10
KNN,wisdm,wisdm,axis,SHAP,0.8428571428571429,0.8409566432285509,16,19
KNN,wisdm,wisdm,axis,SHAP,0.8357142857142857,0.8345042761917304,15,23
KNN,wisdm,wisdm,axis,SHAP,0.8285714285714286,0.8275132488020625,14,18
KNN,wisdm,wisdm,axis,SHAP,0.8285714285714286,0.8267026006022243,13,1
KNN,wisdm,wisdm,axis,SHAP,0.8285714285714286,0.8262300669506999,12,3
KNN,wisdm,wisdm,axis,SHAP,0.8285714285714286,0.8267057835718037,11,13
KNN,wisdm,wisdm,axis,SHAP,0.8285714285714286,0.8279333569656151,10,17
KNN,wisdm,wisdm,axis,SHAP,0.8428571428571429,0.8432351813661143,9,21
KNN,wisdm,wisdm,axis,SHAP,0.8214285714285714,0.8204802132851305,8,6
KNN,wisdm,wisdm,axis,SHAP,0.8142857142857143,0.8155308035986806,7,12
KNN,wisdm,wisdm,axis,SHAP,0.7928571428571428,0.793852499270843,6,16
KNN,wisdm,wisdm,axis,SHAP,0.7714285714285715,0.7719358180702075,5,0
KNN,wisdm,wisdm,axis,SHAP,0.7571428571428571,0.7529404821188144,4,5
KNN,wisdm,wisdm,axis,SHAP,0.7,0.6945857260049221,3,8
KNN,wisdm,wisdm,axis,SHAP,0.55,0.5346759214627719,2,20
KNN,wisdm,wisdm,axis,SHAP,0.4642857142857143,0.4646408474015227,1,4
