Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,wisdm,wisdm,axis,LIME,0.8357142857142857,0.8354537416606382,24,14
Random Forest,wisdm,wisdm,axis,LIME,0.8142857142857143,0.8164900041282606,23,22
Random Forest,wisdm,wisdm,axis,LIME,0.8285714285714286,0.8305415906368943,22,18
Random Forest,wisdm,wisdm,axis,LIME,0.8214285714285714,0.823235754985755,21,11
Random Forest,wisdm,wisdm,axis,LIME,0.8285714285714286,0.8299100145137881,20,19
Random Forest,wisdm,wisdm,axis,LIME,0.8214285714285714,0.8209974459246316,19,7
Random Forest,wisdm,wisdm,axis,LIME,0.8142857142857143,0.8163737226548792,18,23
Random Forest,wisdm,wisdm,axis,LIME,0.8071428571428572,0.8079126240051012,17,15
Random Forest,wisdm,wisdm,axis,LIME,0.8142857142857143,0.8161875662187228,16,17
Random Forest,wisdm,wisdm,axis,LIME,0.8,0.8011457015987802,15,10
Random Forest,wisdm,wisdm,axis,LIME,0.8,0.8023772583954756,14,9
Random Forest,wisdm,wisdm,axis,LIME,0.7785714285714286,0.782271504327597,13,13
Random Forest,wisdm,wisdm,axis,LIME,0.7857142857142857,0.7880651943900407,12,16
Random Forest,wisdm,wisdm,axis,LIME,0.7857142857142857,0.7878855740470894,11,6
Random Forest,wisdm,wisdm,axis,LIME,0.8142857142857143,0.8139655899655901,10,21
Random Forest,wisdm,wisdm,axis,LIME,0.8214285714285714,0.8215840678652245,9,1
Random Forest,wisdm,wisdm,axis,LIME,0.8,0.8004687266756232,8,12
Random Forest,wisdm,wisdm,axis,LIME,0.7714285714285715,0.7730490297521082,7,20
Random Forest,wisdm,wisdm,axis,LIME,0.75,0.7514458735799009,6,3
Random Forest,wisdm,wisdm,axis,LIME,0.7428571428571429,0.7444037444037443,5,4
Random Forest,wisdm,wisdm,axis,LIME,0.7428571428571429,0.7458630377985216,4,5
Random Forest,wisdm,wisdm,axis,LIME,0.5857142857142857,0.5881355932203389,3,2
Random Forest,wisdm,wisdm,axis,LIME,0.5571428571428572,0.5583549124845535,2,0
Random Forest,wisdm,wisdm,axis,LIME,0.4857142857142857,0.48605584579355077,1,8
