Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,wisdm,wisdm,axis,ORACLE,0.8357142857142857,0.8354537416606382,24,19
Random Forest,wisdm,wisdm,axis,ORACLE,0.8357142857142857,0.8363347763347765,23,16
Random Forest,wisdm,wisdm,axis,ORACLE,0.8,0.8019848223595296,22,22
Random Forest,wisdm,wisdm,axis,ORACLE,0.7928571428571428,0.7948741605264573,21,21
Random Forest,wisdm,wisdm,axis,ORACLE,0.8214285714285714,0.8223930064939993,20,2
Random Forest,wisdm,wisdm,axis,ORACLE,0.8142857142857143,0.8158833982230208,19,20
Random Forest,wisdm,wisdm,axis,ORACLE,0.8071428571428572,0.808815099001127,18,4
Random Forest,wisdm,wisdm,axis,ORACLE,0.8357142857142857,0.8373543838883668,17,5
Random Forest,wisdm,wisdm,axis,ORACLE,0.8428571428571429,0.8426760843012089,16,11
Random Forest,wisdm,wisdm,axis,ORACLE,0.8357142857142857,0.8348628300561973,15,13
Random Forest,wisdm,wisdm,axis,ORACLE,0.8214285714285714,0.8227315856165157,14,10
Random Forest,wisdm,wisdm,axis,ORACLE,0.8357142857142857,0.8345961098779442,13,14
Random Forest,wisdm,wisdm,axis,ORACLE,0.8571428571428571,0.8574052973355066,12,23
Random Forest,wisdm,wisdm,axis,ORACLE,0.8642857142857143,0.8636696844659374,11,9
Random Forest,wisdm,wisdm,axis,ORACLE,0.8214285714285714,0.8222258392043201,10,6
Random Forest,wisdm,wisdm,axis,ORACLE,0.8142857142857143,0.8150103230103231,9,3
Random Forest,wisdm,wisdm,axis,ORACLE,0.8,0.8001092497592801,8,12
Random Forest,wisdm,wisdm,axis,ORACLE,0.8214285714285714,0.8213676617423691,7,15
Random Forest,wisdm,wisdm,axis,ORACLE,0.8,0.8006161468973035,6,7
Random Forest,wisdm,wisdm,axis,ORACLE,0.7714285714285715,0.7710611020364431,5,0
Random Forest,wisdm,wisdm,axis,ORACLE,0.7571428571428571,0.7597047822296854,4,17
Random Forest,wisdm,wisdm,axis,ORACLE,0.7214285714285714,0.7215594625500286,3,1
Random Forest,wisdm,wisdm,axis,ORACLE,0.6714285714285714,0.6672750427280194,2,8
Random Forest,wisdm,wisdm,axis,ORACLE,0.37142857142857144,0.3703946504057856,1,18
