Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
Random Forest,wisdm,wisdm,axis,SHAP,0.8357142857142857,0.8354537416606382,24,22
Random Forest,wisdm,wisdm,axis,SHAP,0.8357142857142857,0.8363233618233619,23,14
Random Forest,wisdm,wisdm,axis,SHAP,0.8285714285714286,0.8305415906368943,22,11
Random Forest,wisdm,wisdm,axis,SHAP,0.8357142857142857,0.8376738491932137,21,7
Random Forest,wisdm,wisdm,axis,SHAP,0.8285714285714286,0.8306671337770881,20,23
Random Forest,wisdm,wisdm,axis,SHAP,0.8214285714285714,0.8233055313148989,19,10
Random Forest,wisdm,wisdm,axis,SHAP,0.8285714285714286,0.8306671337770881,18,15
Random Forest,wisdm,wisdm,axis,SHAP,0.8357142857142857,0.8380885780885781,17,18
Random Forest,wisdm,wisdm,axis,SHAP,0.8214285714285714,0.8225482562284657,16,16
Random Forest,wisdm,wisdm,axis,SHAP,0.8142857142857143,0.8170119910666669,15,9
Random Forest,wisdm,wisdm,axis,SHAP,0.8214285714285714,0.8228618257467559,14,19
Random Forest,wisdm,wisdm,axis,SHAP,0.7928571428571428,0.7937427283615135,13,17
Random Forest,wisdm,wisdm,axis,SHAP,0.7928571428571428,0.7954345451708534,12,6
Random Forest,wisdm,wisdm,axis,SHAP,0.7714285714285715,0.7723449377557922,11,12
Random Forest,wisdm,wisdm,axis,SHAP,0.7714285714285715,0.7721857261139742,10,21
Random Forest,wisdm,wisdm,axis,SHAP,0.8285714285714286,0.829180767461924,9,13
Random Forest,wisdm,wisdm,axis,SHAP,0.7928571428571428,0.7946004466548142,8,1
Random Forest,wisdm,wisdm,axis,SHAP,0.7714285714285715,0.7730490297521082,7,20
Random Forest,wisdm,wisdm,axis,SHAP,0.75,0.7514458735799009,6,4
Random Forest,wisdm,wisdm,axis,SHAP,0.7642857142857142,0.7648591161603522,5,2
Random Forest,wisdm,wisdm,axis,SHAP,0.7642857142857142,0.7664434937530828,4,3
Random Forest,wisdm,wisdm,axis,SHAP,0.7428571428571429,0.7465486682394357,3,5
Random Forest,wisdm,wisdm,axis,SHAP,0.5571428571428572,0.5583549124845535,2,0
Random Forest,wisdm,wisdm,axis,SHAP,0.4857142857142857,0.48605584579355077,1,8
