Classifier,Train,Test,Reduce,XAI,Accuracy,F1-Score,Dimension,Feature Removed
SVM,wisdm,wisdm,axis,LIME,0.8285714285714286,0.8296729196729196,24,14
SVM,wisdm,wisdm,axis,LIME,0.8285714285714286,0.8296729196729196,23,7
SVM,wisdm,wisdm,axis,LIME,0.8285714285714286,0.8296729196729196,22,15
SVM,wisdm,wisdm,axis,LIME,0.8285714285714286,0.8296729196729196,21,19
SVM,wisdm,wisdm,axis,LIME,0.8285714285714286,0.8296729196729196,20,22
SVM,wisdm,wisdm,axis,LIME,0.8285714285714286,0.8296729196729196,19,11
SVM,wisdm,wisdm,axis,LIME,0.8142857142857143,0.815670079340195,18,9
SVM,wisdm,wisdm,axis,LIME,0.8285714285714286,0.8296729196729196,17,17
SVM,wisdm,wisdm,axis,LIME,0.8,0.8017941317941318,16,18
SVM,wisdm,wisdm,axis,LIME,0.8071428571428572,0.8083789232945142,15,2
SVM,wisdm,wisdm,axis,LIME,0.8071428571428572,0.8083789232945142,14,23
SVM,wisdm,wisdm,axis,LIME,0.7857142857142857,0.7887310683141507,13,10
SVM,wisdm,wisdm,axis,LIME,0.7714285714285715,0.7748737913921451,12,21
SVM,wisdm,wisdm,axis,LIME,0.7928571428571428,0.7957195465077789,11,13
SVM,wisdm,wisdm,axis,LIME,0.7928571428571428,0.7969913171899269,10,3
SVM,wisdm,wisdm,axis,LIME,0.7642857142857142,0.7688578088578089,9,1
SVM,wisdm,wisdm,axis,LIME,0.7214285714285714,0.7271861250644253,8,5
SVM,wisdm,wisdm,axis,LIME,0.7357142857142858,0.7414236629764994,7,6
SVM,wisdm,wisdm,axis,LIME,0.7285714285714285,0.7351380471380471,6,16
SVM,wisdm,wisdm,axis,LIME,0.7357142857142858,0.7367585630743527,5,12
SVM,wisdm,wisdm,axis,LIME,0.7214285714285714,0.7246740630347188,4,8
SVM,wisdm,wisdm,axis,LIME,0.5928571428571429,0.5861629518191536,3,20
SVM,wisdm,wisdm,axis,LIME,0.5857142857142857,0.5850574712643679,2,4
SVM,wisdm,wisdm,axis,LIME,0.6142857142857143,0.6154777987889067,1,0
