Accuracy,Removed feature,Dataset,reduce on,Classifier,XAI,Dimension
0.8928571428571429,feature 0,kuhar,axis,Random Forest,Others,23
0.9047619047619048,feature 1,kuhar,axis,Random Forest,Others,23
0.9226190476190476,feature 2,kuhar,axis,Random Forest,Others,23
0.9166666666666666,feature 3,kuhar,axis,Random Forest,Others,23
0.9166666666666666,feature 4,kuhar,axis,Random Forest,Others,23
0.9107142857142856,feature 5,kuhar,axis,Random Forest,Others,23
0.9226190476190476,feature 6,kuhar,axis,Random Forest,Others,23
0.9166666666666666,feature 7,kuhar,axis,Random Forest,Others,23
0.9107142857142856,feature 8,kuhar,axis,Random Forest,Others,23
0.9047619047619048,feature 9,kuhar,axis,Random Forest,Others,23
0.8988095238095238,feature 10,kuhar,axis,Random Forest,Others,23
0.9047619047619048,feature 11,kuhar,axis,Random Forest,Others,23
0.9226190476190476,feature 12,kuhar,axis,Random Forest,Others,23
0.9047619047619048,feature 13,kuhar,axis,Random Forest,Others,23
0.9107142857142856,feature 14,kuhar,axis,Random Forest,Others,23
0.9107142857142856,feature 15,kuhar,axis,Random Forest,Others,23
0.9107142857142856,feature 16,kuhar,axis,Random Forest,Others,23
0.9166666666666666,feature 17,kuhar,axis,Random Forest,Others,23
0.9107142857142856,feature 18,kuhar,axis,Random Forest,Others,23
0.9226190476190476,feature 19,kuhar,axis,Random Forest,Others,23
0.9107142857142856,feature 20,kuhar,axis,Random Forest,Others,23
0.9047619047619048,feature 21,kuhar,axis,Random Forest,Others,23
0.9166666666666666,feature 22,kuhar,axis,Random Forest,Others,23
0.9047619047619048,feature 23,kuhar,axis,Random Forest,Others,23
0.9047619047619048,feature 0,kuhar,axis,Random Forest,Others,22
0.9107142857142856,feature 1,kuhar,axis,Random Forest,Others,22
0.9166666666666666,feature 3,kuhar,axis,Random Forest,Others,22
0.9285714285714286,feature 4,kuhar,axis,Random Forest,Others,22
0.9047619047619048,feature 5,kuhar,axis,Random Forest,Others,22
0.9166666666666666,feature 6,kuhar,axis,Random Forest,Others,22
0.9107142857142856,feature 7,kuhar,axis,Random Forest,Others,22
0.9047619047619048,feature 8,kuhar,axis,Random Forest,Others,22
0.9047619047619048,feature 9,kuhar,axis,Random Forest,Others,22
0.8928571428571429,feature 10,kuhar,axis,Random Forest,Others,22
0.9047619047619048,feature 11,kuhar,axis,Random Forest,Others,22
0.9166666666666666,feature 12,kuhar,axis,Random Forest,Others,22
0.9226190476190476,feature 13,kuhar,axis,Random Forest,Others,22
0.8988095238095238,feature 14,kuhar,axis,Random Forest,Others,22
0.9107142857142856,feature 15,kuhar,axis,Random Forest,Others,22
0.9107142857142856,feature 16,kuhar,axis,Random Forest,Others,22
0.9226190476190476,feature 17,kuhar,axis,Random Forest,Others,22
0.9107142857142856,feature 18,kuhar,axis,Random Forest,Others,22
0.9166666666666666,feature 19,kuhar,axis,Random Forest,Others,22
0.9166666666666666,feature 20,kuhar,axis,Random Forest,Others,22
0.9166666666666666,feature 21,kuhar,axis,Random Forest,Others,22
0.9226190476190476,feature 22,kuhar,axis,Random Forest,Others,22
0.8988095238095238,feature 23,kuhar,axis,Random Forest,Others,22
0.9107142857142856,feature 0,kuhar,axis,Random Forest,Others,21
0.9107142857142856,feature 1,kuhar,axis,Random Forest,Others,21
0.9226190476190476,feature 3,kuhar,axis,Random Forest,Others,21
0.9107142857142856,feature 5,kuhar,axis,Random Forest,Others,21
0.9226190476190476,feature 6,kuhar,axis,Random Forest,Others,21
0.9226190476190476,feature 7,kuhar,axis,Random Forest,Others,21
0.9166666666666666,feature 8,kuhar,axis,Random Forest,Others,21
0.9107142857142856,feature 9,kuhar,axis,Random Forest,Others,21
0.9047619047619048,feature 10,kuhar,axis,Random Forest,Others,21
0.9166666666666666,feature 11,kuhar,axis,Random Forest,Others,21
0.9166666666666666,feature 12,kuhar,axis,Random Forest,Others,21
0.9226190476190476,feature 13,kuhar,axis,Random Forest,Others,21
0.9107142857142856,feature 14,kuhar,axis,Random Forest,Others,21
0.9166666666666666,feature 15,kuhar,axis,Random Forest,Others,21
0.9166666666666666,feature 16,kuhar,axis,Random Forest,Others,21
0.9166666666666666,feature 17,kuhar,axis,Random Forest,Others,21
0.9166666666666666,feature 18,kuhar,axis,Random Forest,Others,21
0.9107142857142856,feature 19,kuhar,axis,Random Forest,Others,21
