view,in_use_features,reducer,reduce_on,transforms,scaler,n_components,reducer_datasets,train_datasets,test_datasets,fold,user_id,estimator,accuracy (mean),accuracy (std),balanced accuracy (mean),balanced accuracy (std),f1-score macro (mean),f1-score macro (std),f1-score weighted (mean),f1-score weighted (std),geometric mean (mean)
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",pca-4,axis,fft,no scaler,4,"uci, wisdm",kuhar,realworld_thigh,,,random_forest-100,0.4226190476190476,0.0,0.4226190476190476,0.0,0.35089294403274623,0.0,0.3508929440327463,0.0,0.3707405202083846
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",pca-4,axis,fft,no scaler,4,"uci, wisdm",kuhar,realworld_thigh,,,knn-5,0.39880952380952384,0.0,0.3988095238095238,0.0,0.3513782811775359,0.0,0.3513782811775359,0.0,0.37437168835037
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",pca-4,axis,fft,no scaler,4,"uci, wisdm",kuhar,realworld_thigh,,,svm-rbf-C1.0,0.48214285714285715,0.0,0.48214285714285715,0.0,0.4521973855293174,0.0,0.4521973855293174,0.0,0.47270066258069615
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",pca-4,axis,fft,no scaler,4,"uci, wisdm",kuhar,realworld_thigh,,,decision_tree-gini,0.24404761904761904,0.0,0.24404761904761904,0.0,0.23694075755540134,0.0,0.23694075755540137,0.0,0.257643640187156
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",pca-12,sensor,fft,no scaler,12,"uci, wisdm",motionsense,wisdm,,,random_forest-100,0.5071428571428571,0.0,0.5071428571428571,0.0,0.40556586270871986,0.0,0.5677922077922077,0.0,0.5878847383700869
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",pca-12,sensor,fft,no scaler,12,"uci, wisdm",motionsense,wisdm,,,knn-5,0.5428571428571428,0.0,0.5428571428571429,0.0,0.4082396530672393,0.0,0.571535514294135,0.0,0.5809270095943125
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",pca-12,sensor,fft,no scaler,12,"uci, wisdm",motionsense,wisdm,,,svm-rbf-C1.0,0.5357142857142857,0.0,0.5357142857142858,0.0,0.36883116883116884,0.0,0.5163636363636362,0.0,0.6096747466504552
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",pca-12,sensor,fft,no scaler,12,"uci, wisdm",motionsense,wisdm,,,decision_tree-gini,0.55,0.0,0.55,0.0,0.4186649828159262,0.0,0.5861309759422967,0.0,0.5964548040994668
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",pca-4,axis,fft,no scaler,4,"uci, wisdm",wisdm,kuhar,,,random_forest-100,0.38095238095238093,0.0,0.38095238095238093,0.0,0.31241546015270416,0.0,0.3644847035114882,0.0,0.425796818364037
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",pca-4,axis,fft,no scaler,4,"uci, wisdm",wisdm,kuhar,,,knn-5,0.4226190476190476,0.0,0.4226190476190476,0.0,0.33588766346584664,0.0,0.3918689407101544,0.0,0.44298016586925215
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",pca-4,axis,fft,no scaler,4,"uci, wisdm",wisdm,kuhar,,,svm-rbf-C1.0,0.4523809523809524,0.0,0.4523809523809524,0.0,0.31598486471050186,0.0,0.3686490088289189,0.0,0.3805886523357556
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",pca-4,axis,fft,no scaler,4,"uci, wisdm",wisdm,kuhar,,,decision_tree-gini,0.3630952380952381,0.0,0.3630952380952381,0.0,0.29357126249709375,0.0,0.3424998062466093,0.0,0.3773332760764255
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",pca-12,sensor,fft,no scaler,12,"uci, wisdm",wisdm,realworld_thigh,,,random_forest-100,0.5,0.0,0.5,0.0,0.40786050025180465,0.0,0.47583725029377205,0.0,0.4941376011736022
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",pca-12,sensor,fft,no scaler,12,"uci, wisdm",wisdm,realworld_thigh,,,knn-5,0.38095238095238093,0.0,0.38095238095238093,0.0,0.3004595368483064,0.0,0.3505361263230241,0.0,0.3829287038711349
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",pca-12,sensor,fft,no scaler,12,"uci, wisdm",wisdm,realworld_thigh,,,svm-rbf-C1.0,0.43452380952380953,0.0,0.43452380952380953,0.0,0.3315734989648033,0.0,0.38683574879227056,0.0,0.4639387256510203
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",pca-12,sensor,fft,no scaler,12,"uci, wisdm",wisdm,realworld_thigh,,,decision_tree-gini,0.39285714285714285,0.0,0.39285714285714285,0.0,0.3365271685193994,0.0,0.3926150299392993,0.0,0.40039472282478206
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",pca-24,all,fft,no scaler,24,"uci, wisdm",motionsense,kuhar,,,random_forest-100,0.4523809523809524,0.0,0.4523809523809524,0.0,0.3629735564057806,0.0,0.36297355640578066,0.0,0.47470388019604987
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",pca-24,all,fft,no scaler,24,"uci, wisdm",motionsense,kuhar,,,knn-5,0.5119047619047619,0.0,0.5119047619047619,0.0,0.47360053873448044,0.0,0.4736005387344804,0.0,0.56417199050393
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",pca-24,all,fft,no scaler,24,"uci, wisdm",motionsense,kuhar,,,svm-rbf-C1.0,0.6428571428571429,0.0,0.6428571428571429,0.0,0.5774967674061906,0.0,0.5774967674061906,0.0,0.5923121362930641
