view,in_use_features,reducer,reduce_on,transforms,scaler,n_components,reducer_datasets,train_datasets,test_datasets,fold,user_id,estimator,accuracy (mean),accuracy (std),balanced accuracy (mean),balanced accuracy (std),f1-score macro (mean),f1-score macro (std),f1-score weighted (mean),f1-score weighted (std),geometric mean (mean)
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",umap-4,axis,fft,no scaler,4,"kuhar, motionsense, wisdm",kuhar,realworld_thigh,,,random_forest-100,0.47619047619047616,0.0,0.4761904761904762,0.0,0.44443465092745543,0.0,0.44443465092745543,0.0,0.4676424114279557
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",umap-4,axis,fft,no scaler,4,"kuhar, motionsense, wisdm",kuhar,realworld_thigh,,,knn-5,0.4166666666666667,0.0,0.4166666666666667,0.0,0.35521458245916443,0.0,0.3552145824591645,0.0,0.429954739719019
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",umap-4,axis,fft,no scaler,4,"kuhar, motionsense, wisdm",kuhar,realworld_thigh,,,svm-rbf-C1.0,0.4226190476190476,0.0,0.4226190476190476,0.0,0.32229404582345755,0.0,0.32229404582345755,0.0,0.3371939908768117
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",umap-4,axis,fft,no scaler,4,"kuhar, motionsense, wisdm",kuhar,realworld_thigh,,,decision_tree-gini,0.17857142857142858,0.0,0.17857142857142852,0.0,0.17132310580073332,0.0,0.1713231058007333,0.0,0.1940826478501671
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",umap-12,sensor,fft,no scaler,12,"kuhar, motionsense, wisdm",motionsense,wisdm,,,random_forest-100,0.5571428571428572,0.0,0.5571428571428572,0.0,0.4324710341026609,0.0,0.6054594477437254,0.0,0.61380738056341
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",umap-12,sensor,fft,no scaler,12,"kuhar, motionsense, wisdm",motionsense,wisdm,,,knn-5,0.5071428571428571,0.0,0.5071428571428571,0.0,0.39118118077704656,0.0,0.5476536530878651,0.0,0.5565233744002761
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",umap-12,sensor,fft,no scaler,12,"kuhar, motionsense, wisdm",motionsense,wisdm,,,svm-rbf-C1.0,0.55,0.0,0.55,0.0,0.4177767810420871,0.0,0.584887493458922,0.0,0.5899455180656213
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",umap-12,sensor,fft,no scaler,12,"kuhar, motionsense, wisdm",motionsense,wisdm,,,decision_tree-gini,0.44285714285714284,0.0,0.4428571428571429,0.0,0.3550550301421382,0.0,0.49707704219899335,0.0,0.5445848997183859
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",umap-4,axis,fft,no scaler,4,"kuhar, motionsense, wisdm",wisdm,kuhar,,,random_forest-100,0.47619047619047616,0.0,0.4761904761904762,0.0,0.38454469080944087,0.0,0.44863547261101433,0.0,0.5073986004699289
standartized_inter_balanced,"accel-x, accel-y, accel-z, gyro-x, gyro-y, gyro-z",umap-4,axis,fft,no scaler,4,"kuhar, motionsense, wisdm",wisdm,kuhar,,,knn-5,0.5416666666666666,0.0,0.5416666666666666,0.0,0.44377880184331797,0.0,0.517741935483871,0.0,0.5429648732969593
